确,b'\xe2\x9c\x94'
短,b'\xf0\x9f\x91\x95'
昨,b'\xf0\x9f\x93\x85'
盒,b'\xf0\x9f\x93\xa6'
罕,b'\xf0\x9f\x92\x8e'
蜡,b'\xf0\x9f\x95\xaf'
泯,b'\xe6\xb3\xaf'
瘪,b'\xe2\x98\xb9'
护,b'\xf0\x9f\xa5\xbd'
嫦,b'\xf0\x9f\xa7\x9a\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
砌,b'\xe7\xa0\x8c'
索,b'\xf0\x9f\x9a\xa1'
扬,b'\xf0\x9f\x94\x88'
蛐,b'\xe8\x9b\x90'
惬,b'\xe6\x83\xac'
附,b'\xe2\x9e\x95'
吻,b'\xf0\x9f\x91\xa9\xe2\x80\x8d\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\x91\xa8'
飞,b'\xe2\x9c\x88'
齿,b'\xf0\x9f\xa6\xb7'
译,b'\xf0\x9f\x8c\x90'
础,b'\xf0\x9f\xa7\xb1'
所,b'\xf0\x9f\x9a\xbe'
豪,b'\xf0\x9f\x92\xb0'
忧,b'\xe5\xbf\xa7'
宗,b'\xf0\x9f\x9b\x90'
献,b'\xf0\x9f\x92\x83'
娇,b'\xf0\x9f\x91\xa9'
绕,b'\xe2\x9e\xb0'
庸,b'\xe5\xba\xb8'
微,b'\xf0\x9f\x94\xac'
浮,b'\xf0\x9f\x8f\x8a'
契,b'\xe5\xa5\x91'
净,b'\xe2\x9a\x97'
范,b'\xf0\x9f\x8d\x9a'
坛,b'\xe5\x9d\x9b'
诈,b'\xe8\xaf\x88'
淘,b'\xe6\xb7\x98'
游,b'\xf0\x9f\x8f\x8a'
灿,b'\xf0\x9f\x8c\x9f'
察,b'\xf0\x9f\x91\x80'
怕,b'\xf0\x9f\x98\xa8'
枝,b'\xe6\x9e\x9d'
软,b'\xf0\x9f\x92\xbe'
渴,b'\xf0\x9f\x92\xa7'
儿,b'\xf0\x9f\xa7\x92'
少,b'1\xef\xb8\x8f\xe2\x83\xa3'
莓,b'\xe8\x8e\x93'
理,b'\xf0\x9f\x92\x87'
审,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
只,b'\xe5\x8f\xaa'
绩,b'\xf0\x9f\x93\x88'
埋,b'\xe5\x9f\x8b'
痛,b'\xf0\x9f\x98\xa7'
到,b'\xe2\x9e\xa1'
润,b'\xf0\x9f\xa4\x97'
素,b'\xf0\x9f\xa5\xac'
而,b'2\xef\xb8\x8f\xe2\x83\xa3'
饲,b'\xe9\xa5\xb2'
棚,b'\xe6\xa3\x9a'
带,b'\xf0\x9f\x8e\x97'
午,b'\xf0\x9f\x95\x9b'
伪,b'\xe4\xbc\xaa'
走,b'\xf0\x9f\x9a\xb6'
修,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x94\xa7'
沟,b'\xf0\x9f\x94\xbd'
馆,b'\xf0\x9f\x8f\x9f'
瑚,b'\xf0\x9f\x8c\xbe'
殖,b'\xe6\xae\x96'
介,b'\xe4\xbb\x8b'
熟,b'\xf0\x9f\x8d\x8e'
鹦,b'\xf0\x9f\xa6\x9c'
试,b'\xf0\x9f\xa7\xaa'
座,b'\xf0\x9f\x92\xba'
灾,b'\xf0\x9f\xa4\xa3'
此,b'\xf0\x9f\x88\x81'
遐,b'\xe9\x81\x90'
后,b'\xe2\x8f\xaa'
油,b'\xe2\x9b\xbd'
蚂,b'\xf0\x9f\x90\x9c'
醉,b'\xf0\x9f\xa5\xb4'
幼,b'\xf0\x9f\x8c\xb1'
源,b'\xf0\x9f\x94\x8c'
够,b'\xf0\x9f\x89\x91'
再,b'\xf0\x9f\x91\x8b'
旱,b'\xe2\x98\x80'
蝙,b'\xe8\x9d\x99'
科,b'\xe2\x9a\x9b'
盼,b'\xe7\x9b\xbc'
或,b'\xf0\x9f\x89\x91'
熏,b'\xf0\x9f\xa5\x93'
尘,b'\xf0\x9f\xa7\xb9'
蛊,b'\xf0\x9f\xa6\xa0'
哄,b'\xf0\x9f\x92\xa5'
猴,b'\xf0\x9f\x90\x92'
苗,b'\xf0\x9f\x8c\xb1'
冉,b'\xe2\x98\x80'
半,b'\xf0\x9f\x8c\x97'
停,b'\xf0\x9f\x9b\x91'
右,b'\xe2\x9e\xa1'
饥,b'\xf0\x9f\x98\x8b'
嫁,b'\xf0\x9f\x91\xb0'
衍,b'\xe8\xa1\x8d'
抿,b'\xf0\x9f\x96\x8c'
康,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
燥,b'\xf0\x9f\x92\xaf'
砸,b'\xf0\x9f\x94\xa8'
究,b'\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x94\xac'
烛,b'\xf0\x9f\x95\xaf'
哝,b'\xe5\x93\x9d'
躏,b'\xe8\xba\x8f'
圃,b'\xe5\x9c\x83'
急,b'\xf0\x9f\x9a\x91'
瞬,b'\xe7\x9e\xac'
曼,b'\xe6\x9b\xbc'
绒,b'\xf0\x9f\xa7\xb8'
春,b'\xf0\x9f\x80\xa6'
崩,b'\xf0\x9f\x8c\x8b'
嫂,b'\xf0\x9f\x91\xa9'
晓,b'\xe6\x99\x93'
厅,b'\xe5\x8e\x85'
舷,b'\xe8\x88\xb7'
麓,b'\xe2\x9b\xb0'
Ｑ,b'\xf0\x9f\x87\xb6'
书,b'\xf0\x9f\x93\x96'
踱,b'\xe8\xb8\xb1'
缄,b'\xe2\x9c\x89'
育,b'\xf0\x9f\x8c\xb1'
北,b'\xf0\x9f\x80\x83'
挫,b'\xf0\x9f\x93\x89'
玷,b'\xe7\x8e\xb7'
调,b'\xf0\x9f\x8e\xb6'
憎,b'\xe6\x86\x8e'
肺,b'\xf0\x9f\x9a\xad'
性,b'\xe2\x99\x80'
级,b'\xe7\xba\xa7'
拙,b'\xf0\x9f\xa4\xa1'
肾,b'\xe8\x82\xbe'
鲫,b'\xe9\xb2\xab'
缭,b'\xe7\xbc\xad'
澎,b'\xe6\xbe\x8e'
沪,b'\xe3\x80\xb0'
绢,b'\xf0\x9f\xa7\xa3'
炊,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8d\xb3'
酬,b'\xf0\x9f\x92\xb4'
弓,b'\xf0\x9f\x8f\xb9'
膨,b'\xe8\x86\xa8'
缰,b'\xe7\xbc\xb0'
犹,b'\xf0\x9f\x95\x8d'
唬,b'\xf0\x9f\x91\xbf'
苍,b'\xf0\x9f\x8c\xa5'
癞,b'\xe7\x99\x9e'
沈,b'\xe6\xb2\x88'
升,b'\xf0\x9f\x93\x88'
锭,b'\xe9\x94\xad'
瘦,b'\xe7\x98\xa6'
巷,b'\xf0\x9f\x8f\x99'
抢,b'\xf0\x9f\x94\xab'
蛛,b'\xf0\x9f\x95\xb7'
飒,b'\xe9\xa3\x92'
盅,b'\xe7\x9b\x85'
牍,b'\xf0\x9f\xa4\xa4'
囤,b'\xe5\x9b\xa4'
浙,b'\xe6\xb5\x99'
猫,b'\xf0\x9f\x90\xb1'
诊,b'\xf0\x9f\xa9\xba'
啦,b'\xf0\x9f\x98\x83'
迂,b'\xe8\xbf\x82'
眶,b'\xe7\x9c\xb6'
丸,b'\xf0\x9f\x92\x8a'
舟,b'\xf0\x9f\x9b\xb6'
吴,b'\xe5\x90\xb4'
鳖,b'\xf0\x9f\x90\xa2'
援,b'\xe6\x8f\xb4'
烘,b'\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x8d\xb3'
荞,b'\xe8\x8d\x9e'
猿,b'\xf0\x9f\xa6\xa7'
窖,b'\xf0\x9f\x95\xb3'
皆,b'\xf0\x9f\x98\x81'
长,b'\xf0\x9f\xa6\x92'
争,b'\xe4\xba\x89'
埂,b'\xe5\x9f\x82'
剩,b'\xe5\x89\xa9'
鹰,b'\xf0\x9f\xa6\x85'
皱,b'\xe7\x9a\xb1'
晴,b'\xf0\x9f\x8c\xa4'
诲,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8f\xab'
斩,b'\xf0\x9f\x97\xa1'
馋,b'\xf0\x9f\xa4\xa4'
巫,b'\xf0\x9f\xa7\x99'
肮,b'\xf0\x9f\xa7\xb9'
涎,b'\xe6\xb6\x8e'
船,b'\xf0\x9f\x9a\xa2'
氓,b'\xf0\x9f\x98\x8d'
铃,b'\xf0\x9f\x94\x94'
坯,b'\xe5\x9d\xaf'
柑,b'\xf0\x9f\x8d\x8a'
彬,b'\xf0\x9f\x99\x87'
羹,b'\xf0\x9f\xa5\x84'
梗,b'\xf0\x9f\xa5\xac'
娄,b'\xf0\x9f\x97\x91'
棱,b'\xe6\xa3\xb1'
险,b'\xf0\x9f\x8f\x84'
讳,b'\xf0\x9f\xa4\x90'
椿,b'\xf0\x9f\x8c\xb3'
垃,b'\xf0\x9f\x9a\xae'
翘,b'\xf0\x9f\x92\x81\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
凫,b'\xe5\x87\xab'
帚,b'\xf0\x9f\xa7\xb9'
栖,b'\xf0\x9f\x90\xa6'
唱,b'\xf0\x9f\x8e\xa4'
彤,b'\xe5\xbd\xa4'
莺,b'\xe8\x8e\xba'
舰,b'\xf0\x9f\x9b\xa5'
崭,b'\xe5\xb4\xad'
礁,b'\xe7\xa4\x81'
谆,b'\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x8f\xab'
掰,b'\xe6\x8e\xb0'
筝,b'\xf0\x9f\xaa\x81'
捆,b'\xe6\x8d\x86'
痘,b'\xf0\x9f\x98\xb7'
匈,b'\xf0\x9f\x87\xad\xf0\x9f\x87\xba'
滓,b'\xf0\x9f\xa7\xb9'
纺,b'\xf0\x9f\xa7\xb6'
蜈,b'\xe8\x9c\x88'
亿,b'\xe4\xba\xbf'
鸿,b'\xf0\x9f\xa6\xa2'
蜘,b'\xf0\x9f\x95\xb7'
茬,b'\xf0\x9f\x8c\xbe'
嚷,b'\xf0\x9f\x97\xa3'
粒,b'\xe7\xb2\x92'
沽,b'\xf0\x9f\x92\xb0'
虹,b'\xf0\x9f\x8c\x88'
糠,b'\xf0\x9f\x8c\xbe'
椭,b'\xf0\x9f\xa5\x9a'
刃,b'\xf0\x9f\x94\xaa'
江,b'\xe3\x80\xb0'
丛,b'\xf0\x9f\x8c\xb3'
绑,b'\xf0\x9f\xa7\xb5'
倚,b'\xe5\x80\x9a'
谤,b'\xf0\x9f\xa4\xa5'
乒,b'\xf0\x9f\x8f\x93'
艳,b'\xf0\x9f\x92\x90'
荸,b'\xe8\x8d\xb8'
袱,b'\xf0\x9f\x8e\x92'
涣,b'\xe3\x80\xb0'
浆,b'\xf0\x9f\xa5\x9b'
阎,b'\xf0\x9f\x91\xbb'
赡,b'\xe8\xb5\xa1'
矿,b'\xe2\x9b\x8f'
捌,b'8\xef\xb8\x8f\xe2\x83\xa3'
镊,b'\xe9\x95\x8a'
潭,b'\xe6\xbd\xad'
耿,b'\xf0\x9f\x94\x86'
庄,b'\xf0\x9f\x8f\x95'
冗,b'\xe5\x86\x97'
樊,b'\xf0\x9f\x8f\xae'
盐,b'\xf0\x9f\xa7\x82'
蒂,b'\xf0\x9f\x8d\x93'
址,b'\xe5\x9d\x80'
扔,b'\xf0\x9f\xa4\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
仲,b'\xe4\xbb\xb2'
杈,b'\xe6\x9d\x88'
瞭,b'\xe7\x9e\xad'
蒋,b'\xf0\x9f\xa9\xa7'
降,b'\xf0\x9f\x93\x89'
棠,b'\xe6\xa3\xa0'
燎,b'\xf0\x9f\x94\xa5'
掷,b'\xf0\x9f\xa4\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
刮,b'\xf0\x9f\x94\xaa'
篷,b'\xe2\x9b\xba'
旦,b'\xf0\x9f\x8c\x85'
哨,b'\xe5\x93\xa8'
量,b'\xf0\x9f\x93\x8f'
禀,b'\xe7\xa6\x80'
钟,b'\xf0\x9f\x95\xb0'
扛,b'\xf0\x9f\x8f\x8b'
巢,b'\xf0\x9f\x8c\xb3'
狸,b'\xf0\x9f\xa6\x8a'
贿,b'\xf0\x9f\x92\xb4'
碱,b'\xf0\x9f\xa7\xaa'
唁,b'\xe5\x94\x81'
钳,b'\xf0\x9f\x97\x9c'
锨,b'\xe9\x94\xa8'
眷,b'\xe2\x9d\xa4'
忌,b'\xf0\x9f\x88\xb2'
戳,b'\xf0\x9f\xa4\xba'
肿,b'\xe8\x82\xbf'
肄,b'\xe8\x82\x84'
嵌,b'\xf0\x9f\x8d\x89'
牺,b'\xe2\x99\x9f'
匠,b'\xf0\x9f\x94\xa8'
崎,b'\xe2\x9b\xb0'
吁,b'\xe5\x90\x81'
溉,b'\xf0\x9f\x9a\xbf'
雄,b'\xe2\x99\x82'
召,b'\xe5\x8f\xac'
拴,b'\xe6\x8b\xb4'
腺,b'\xe8\x85\xba'
凤,b'\xf0\x9f\xa6\x9a'
秉,b'\xe2\x9a\x96'
撰,b'\xe2\x9c\x8d'
辆,b'\xf0\x9f\x9a\x97'
央,b'\xf0\x9f\xa5\x88'
箩,b'\xf0\x9f\xa7\xba'
箱,b'\xf0\x9f\xa7\xb3'
襟,b'\xe8\xa5\x9f'
铆,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8f\xad'
乍,b'\xe4\xb9\x8d'
哮,b'\xe5\x93\xae'
漓,b'\xe6\xbc\x93'
唯,b'\xe5\x94\xaf'
莹,b'\xe8\x8e\xb9'
吭,b'\xf0\x9f\x97\xa3'
镐,b'\xe2\x9b\x8f'
零,b'0\xef\xb8\x8f\xe2\x83\xa3'
赘,b'\xe2\x9e\x95'
岭,b'\xe2\x9b\xb0'
芋,b'\xe8\x8a\x8b'
厨,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8d\xb3'
烁,b'\xe2\x9c\xa8'
唧,b'\xe5\x94\xa7'
漾,b'\xe6\xbc\xbe'
剑,b'\xe2\x9a\x94'
箕,b'\xf0\x9f\xa7\xb9'
鸽,b'\xf0\x9f\x95\x8a'
亮,b'\xf0\x9f\x94\x86'
牵,b'\xf0\x9f\x91\xab'
敛,b'\xe6\x95\x9b'
硼,b'\xe7\xa1\xbc'
盯,b'\xf0\x9f\x91\x81'
壮,b'\xf0\x9f\x92\xaa'
朦,b'\xe6\x9c\xa6'
蜻,b'\xe8\x9c\xbb'
粮,b'\xf0\x9f\x8c\xbe'
凭,b'\xe5\x87\xad'
鸠,b'\xe9\xb8\xa0'
穿,b'\xf0\x9f\x91\x9a'
盈,b'\xf0\x9f\x92\xb9'
谜,b'\xf0\x9f\x8f\xae'
狰,b'\xe7\x8b\xb0'
耍,b'\xf0\x9f\xa4\xb9'
冯,b'\xf0\x9f\x90\x8e'
酗,b'\xf0\x9f\x8d\xb6'
涮,b'\xe6\xb6\xae'
垛,b'\xf0\x9f\xa7\xb1'
专,b'\xf0\x9f\x8e\xaf'
硝,b'\xe7\xa1\x9d'
斤,b'\xe2\x9a\x96'
秤,b'\xe2\x9a\x96'
蒜,b'\xf0\x9f\xa7\x84'
常,b'\xf0\x9f\x8c\xb2'
啰,b'\xe5\x95\xb0'
犁,b'\xe7\x8a\x81'
脯,b'\xf0\x9f\xa5\x93'
拧,b'\xe6\x8b\xa7'
淌,b'\xe6\xb7\x8c'
笆,b'\xf0\x9f\x8e\x8d'
弛,b'\xe5\xbc\x9b'
趁,b'\xe8\xb6\x81'
咆,b'\xf0\x9f\xa4\xac'
庐,b'\xe2\x9a\xb0'
赠,b'\xf0\x9f\x92\xb0'
薛,b'\xe8\x96\x9b'
肛,b'\xf0\x9f\x92\xa9'
诚,b'\xf0\x9f\x9b\x90'
昙,b'\xe6\x98\x99'
丈,b'\xe4\xb8\x88'
整,b'\xe6\x95\xb4'
绷,b'\xf0\x9f\xa4\x95'
椰,b'\xf0\x9f\xa5\xa5'
阱,b'\xe9\x98\xb1'
荒,b'\xf0\x9f\x8f\x9a'
辉,b'\xf0\x9f\x8e\x87'
瘩,b'\xf0\x9f\xa4\x94'
澈,b'\xf0\x9f\x92\xa7'
衰,b'\xe2\x98\xb9\xef\xb8\x8f'
荠,b'\xe8\x8d\xa0'
纫,b'\xf0\x9f\xa7\xb5'
掉,b'\xf0\x9f\x92\xa7'
腔,b'\xf0\x9f\x91\x84'
辰,b'\xe2\x8f\xb3'
郭,b'\xf0\x9f\xa7\xb1'
涤,b'\xf0\x9f\xa7\xbc'
芳,b'\xf0\x9f\x8c\xb7'
玻,b'\xf0\x9f\x91\x93'
黄,b'\xf0\x9f\x92\x9b'
邦,b'\xf0\x9f\x8f\x9e'
沸,b'\xe2\x99\xa8'
夷,b'\xe5\xa4\xb7'
傍,b'\xf0\x9f\x8c\x87'
况,b'\xe5\x86\xb5'
颈,b'\xf0\x9f\xa6\x92'
相,b'\xf0\x9f\x93\xb7'
朋,b'\xf0\x9f\x91\xac'
荚,b'\xf0\x9f\xa5\x92'
兑,b'\xf0\x9f\x92\xb1'
桦,b'\xe6\xa1\xa6'
锄,b'\xe2\x9b\x8f'
茴,b'\xe8\x8c\xb4'
碴,b'\xf0\x9f\xa7\x94'
咙,b'\xe5\x92\x99'
挣,b'\xe6\x8c\xa3'
衩,b'\xe8\xa1\xa9'
篡,b'\xf0\x9f\xa4\xa5'
鳍,b'\xe9\xb3\x8d'
衔,b'\xe8\xa1\x94'
裳,b'\xf0\x9f\x91\x97'
晾,b'\xf0\x9f\x91\x9a'
崇,b'\xf0\x9f\xa4\xa9'
眯,b'\xf0\x9f\x98\x86'
辙,b'\xe8\xbe\x99'
贰,b'2\xef\xb8\x8f\xe2\x83\xa3'
锈,b'\xe9\x94\x88'
逞,b'\xf0\x9f\xa4\xb8\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
桂,b'\xf0\x9f\x8c\xb3'
羊,b'\xf0\x9f\x90\x8f'
峦,b'\xe2\x9b\xb0'
锰,b'\xe9\x94\xb0'
哩,b'\xe5\x93\xa9'
隅,b'\xe9\x9a\x85'
玲,b'\xe7\x8e\xb2'
川,b'\xe2\x9b\xb0'
捂,b'\xf0\x9f\x99\x8a'
项,b'\xf0\x9f\x93\xbf'
叭,b'\xf0\x9f\x93\xa2'
向,b'\xf0\x9f\x8c\xbb'
晃,b'\xf0\x9f\x91\x8b'
卒,b'\xf0\x9f\xa9\xad'
沛,b'\xe6\xb2\x9b'
徊,b'\xf0\x9f\x94\x81'
瘫,b'\xe2\x99\xbf'
芥,b'\xf0\x9f\x8c\xbf'
奖,b'\xf0\x9f\x8f\x86'
弦,b'\xf0\x9f\x8e\xbb'
硅,b'\xf0\x9f\x94\xac'
锉,b'\xe9\x94\x89'
讥,b'\xe8\xae\xa5'
谎,b'\xf0\x9f\xa4\xa5'
蛆,b'\xe8\x9b\x86'
锦,b'\xf0\x9f\x8e\x80'
斟,b'\xe6\x96\x9f'
粱,b'\xf0\x9f\x8c\xbe'
蹬,b'\xf0\x9f\xa6\xb6'
靖,b'\xe9\x9d\x96'
屯,b'\xe5\xb1\xaf'
萤,b'\xe8\x90\xa4'
讲,b'\xf0\x9f\x97\xa3'
醋,b'\xf0\x9f\x8d\xb6'
颅,b'\xe2\x98\xa0'
刁,b'\xf0\x9f\x98\x88'
酥,b'\xf0\x9f\xa5\xa7'
象,b'\xf0\x9f\x90\x98'
黍,b'\xe9\xbb\x8d'
舔,b'\xf0\x9f\x91\x85'
奠,b'\xe2\x9b\xbc'
膳,b'\xe8\x86\xb3'
蛾,b'\xf0\x9f\xa6\x8b'
章,b'\xf0\x9f\x90\x99'
梁,b'\xf0\x9f\x8f\xa0'
矾,b'\xf0\x9f\xa7\xaa'
抠,b'\xe6\x8a\xa0'
拆,b'\xe2\x9b\x8f'
寿,b'\xf0\x9f\xa7\x93'
垄,b'\xe5\x9e\x84'
榛,b'\xe6\xa6\x9b'
臀,b'\xe8\x87\x80'
骏,b'\xf0\x9f\x90\x8e'
叽,b'\xe5\x8f\xbd'
辽,b'\xe8\xbe\xbd'
蚜,b'\xe8\x9a\x9c'
稍,b'\xe7\xa8\x8d'
碘,b'\xf0\x9f\x92\x8a'
捶,b'\xf0\x9f\x94\xa8'
墩,b'\xe5\xa2\xa9'
焚,b'\xf0\x9f\x94\xa5'
将,b'\xf0\x9f\xa9\xa7'
幌,b'\xf0\x9f\x91\x8b'
杭,b'\xf0\x9f\x9b\xb6'
甫,b'\xe7\x94\xab'
障,b'\xf0\x9f\x9a\xa7'
咪,b'\xf0\x9f\x98\xb8'
痒,b'\xf0\x9f\xa6\x9f'
堤,b'\xf0\x9f\xa7\xb1'
患,b'\xf0\x9f\xa4\x95'
坪,b'\xe5\x9d\xaa'
蜓,b'\xe8\x9c\x93'
遂,b'\xe9\x81\x82'
闯,b'\xf0\x9f\xa7\x97'
称,b'\xe2\x9a\x96'
仗,b'\xe4\xbb\x97'
锋,b'\xf0\x9f\x97\xa1'
凰,b'\xf0\x9f\xa6\x9a'
嘹,b'\xe5\x98\xb9'
钞,b'\xf0\x9f\x92\xb4'
喘,b'\xf0\x9f\xa5\xb5'
刨,b'\xf0\x9f\x8d\xa7'
绍,b'\xe7\xbb\x8d'
砍,b'\xf0\x9f\x94\xaa'
苟,b'\xe2\x98\x98'
券,b'\xf0\x9f\x8e\x9f'
逝,b'\xf0\x9f\x91\xb5'
桨,b'\xf0\x9f\x9a\xa3'
硫,b'\xf0\x9f\xa7\xaa'
晒,b'\xf0\x9f\x8c\x9e'
传,b'\xf0\x9f\x93\xa0'
湃,b'\xe2\x9b\x91'
蔫,b'\xf0\x9f\xa5\x80'
酿,b'\xf0\x9f\x8d\xb6'
筏,b'\xf0\x9f\x9a\xa3'
腌,b'\xe8\x85\x8c'
侥,b'\xf0\x9f\x99\x8f'
上,b'\xe2\xac\x86'
誊,b'\xe8\xaa\x8a'
睬,b'\xf0\x9f\x91\x80'
逛,b'\xf0\x9f\x9a\xb6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
汞,b'\xf0\x9f\x8c\xa1'
拯,b'\xe6\x8b\xaf'
证,b'\xe8\xaf\x81'
竞,b'\xf0\x9f\x8f\x86'
娩,b'\xf0\x9f\xa4\xb0'
蜀,b'\xf0\x9f\x8c\xb6'
香,b'\xf0\x9f\x8d\x8c'
捧,b'\xf0\x9f\xa4\xb2'
棵,b'\xf0\x9f\x8c\xb3'
眠,b'\xf0\x9f\x9b\x8c'
颗,b'\xf0\x9f\x93\xbf'
唉,b'\xf0\x9f\x98\x93'
嘶,b'\xe5\x98\xb6'
掌,b'\xf0\x9f\x96\x90'
肘,b'\xf0\x9f\x92\xaa'
痪,b'\xe2\x99\xbf'
譬,b'\xe8\xad\xac'
株,b'\xf0\x9f\x8c\xb3'
砰,b'\xe7\xa0\xb0'
嘀,b'\xe5\x98\x80'
恃,b'\xe6\x81\x83'
窍,b'\xf0\x9f\x95\xb3'
婶,b'\xf0\x9f\x91\xa9'
毙,b'\xf0\x9f\x92\x80'
帅,b'\xe5\xb8\x85'
撵,b'\xe6\x92\xb5'
讹,b'\xf0\x9f\xa4\xa5'
氏,b'\xe6\xb0\x8f'
嚎,b'\xf0\x9f\x98\xad'
谚,b'\xe8\xb0\x9a'
拄,b'\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\xa6\xaf'
枕,b'\xe6\x9e\x95'
檀,b'\xe6\xaa\x80'
璃,b'\xe7\x92\x83'
莱,b'\xf0\x9f\x8d\x80'
茵,b'\xe8\x8c\xb5'
汪,b'\xf0\x9f\x90\xb6'
踢,b'\xf0\x9f\xa6\xb5'
贡,b'\xf0\x9f\x9b\x90'
萍,b'\xf0\x9f\x8d\x8e'
栗,b'\xf0\x9f\x8c\xb0'
卦,b'\xe5\x8d\xa6'
粤,b'\xe7\xb2\xa4'
响,b'\xf0\x9f\x95\xad'
奄,b'\xe5\xa5\x84'
绞,b'\xe2\x9d\xa4'
仍,b'\xe4\xbb\x8d'
署,b'\xe7\xbd\xb2'
羔,b'\xf0\x9f\x90\x90'
纵,b'\xf0\x9f\x9a\xa6'
煌,b'\xf0\x9f\x8e\x86'
狈,b'\xf0\x9f\x90\xba'
囱,b'\xf0\x9f\x8f\xad'
慧,b'\xf0\x9f\x8c\xa0'
伸,b'\xe4\xbc\xb8'
堰,b'\xe5\xa0\xb0'
掂,b'\xf0\x9f\xa4\xb2'
臼,b'\xe8\x87\xbc'
窜,b'\xf0\x9f\x90\x81'
歉,b'\xf0\x9f\x99\x87'
畴,b'\xe7\x95\xb4'
像,b'\xf0\x9f\x97\xbf'
腋,b'\xe8\x85\x8b'
莉,b'\xe2\x9a\x98'
粪,b'\xf0\x9f\x92\xa9'
邓,b'\xf0\x9f\x98\xb5'
悯,b'\xe6\x82\xaf'
尝,b'\xf0\x9f\x91\x85'
苞,b'\xf0\x9f\x8c\xbd'
啼,b'\xf0\x9f\x98\xa2'
胯,b'\xf0\x9f\xa6\xb5'
厦,b'\xf0\x9f\x8f\x99'
橙,b'\xf0\x9f\x8d\x8a'
踩,b'\xf0\x9f\xa6\xb6'
窄,b'\xe7\xaa\x84'
屿,b'\xe5\xb1\xbf'
场,b'\xf0\x9f\x8f\x9f'
蜕,b'\xe8\x9c\x95'
呛,b'\xe5\x91\x9b'
锻,b'\xe2\x9a\x92'
坞,b'\xe5\x9d\x9e'
笙,b'\xe7\xac\x99'
卓,b'\xf0\x9f\x8f\x86'
汹,b'\xe6\xb1\xb9'
冈,b'\xe2\x9b\xb0'
檬,b'\xf0\x9f\x8d\x8b'
掏,b'\xe6\x8e\x8f'
瓮,b'\xe2\x9a\xb1'
宵,b'\xf0\x9f\x8f\xae'
崔,b'\xe2\x9b\xb0'
昌,b'\xe6\x98\x8c'
第,b'\xf0\x9f\x94\xa2'
宦,b'\xf0\x9f\x91\xb2'
撑,b'\xf0\x9f\x9b\xb6'
嘁,b'\xe5\x98\x81'
幢,b'\xf0\x9f\x8f\xa0'
虫,b'\xf0\x9f\x90\x9b'
卵,b'\xf0\x9f\xa5\x9a'
罩,b'\xf0\x9f\xa4\xbf'
聪,b'\xf0\x9f\x91\x82'
恬,b'\xe6\x81\xac'
丐,b'\xe4\xb8\x90'
邪,b'\xf0\x9f\x91\xb9'
轴,b'\xe8\xbd\xb4'
冕,b'\xf0\x9f\x91\x91'
徘,b'\xf0\x9f\x9a\xb6'
缨,b'\xe7\xbc\xa8'
衡,b'\xe2\x99\x8e'
叼,b'\xf0\x9f\xa6\x85'
潦,b'\xf0\x9f\x8c\xa7'
蹋,b'\xe8\xb9\x8b'
紊,b'\xf0\x9f\x91\xb4'
煮,b'\xf0\x9f\x8d\xb2'
镣,b'\xe9\x95\xa3'
承,b'\xf0\x9f\x9b\x90'
僵,b'\xf0\x9f\xa7\x9f'
缕,b'\xe7\xbc\x95'
猾,b'\xf0\x9f\xa6\x8a'
踊,b'\xe8\xb8\x8a'
宠,b'\xf0\x9f\x90\xb6'
衷,b'\xe8\xa1\xb7'
楔,b'\xe6\xa5\x94'
呢,b'\xe5\x91\xa2'
橡,b'\xe2\x9c\x8f'
悴,b'\xf0\x9f\xa5\x80'
榜,b'\xf0\x9f\x93\x83'
捅,b'\xe6\x8d\x85'
瞧,b'\xf0\x9f\x91\x80'
搔,b'\xf0\x9f\x90\xbe'
霜,b'\xf0\x9f\xa5\xb6'
乓,b'\xf0\x9f\x8f\x93'
挪,b'\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4'
吵,b'\xf0\x9f\xa4\xac'
碾,b'\xe7\xa2\xbe'
抡,b'\xe6\x8a\xa1'
